"","Coefficients","SE","2.5% CI","97.5% CI"
"(Intercept)",5.50949973942184,1.53288901913594,2.48972364250317,8.5292758363405
"Age",0.169007361684854,0.0424882353551816,0.0853057479091296,0.252708975460578
"I(Age^2)",-0.00347286705254327,0.000461502805580254,-0.00438202069199016,-0.00256371341309638
"DisturbancePasture",-0.19891688947678,1.55270734255764,-3.25774061408309,2.85990683512953
"DisturbanceShifting agriculture",-2.56486420394249,2.02854170407108,-6.84062053179106,1.71089212390609
"TypeMoist",1.10300770145709,1.72229668928823,-2.28995812947927,4.49597353239345
"TypeWet",0.167716495088008,1.68347058170255,-3.14876097167404,3.48419396185006
"Age:DisturbancePasture",0.203752995705434,0.0460428723889377,0.113048997164026,0.294456994246842
"Age:DisturbanceShifting agriculture",0.248362677693765,0.0581714705632145,0.133765221918652,0.362960133468879
