"","(Intercept)","AGB_Ref","Age","I(Age^2)","Disturbance","AGB_Ref:Age","AGB_Ref:I(Age^2)","Disturbance:I(Age^2)","Age:Disturbance","df","logLik","AICc","delta","weight","deviance","percentagedev"
"192",1.79664797205404,0.00582140641413418,0.222224886161387,-0.00502727569299387,"+",0.000802416909511394,-1.36989816577207e-05,"+",NA,11,-510.75444154879,1044.70888309758,0,0.375242621765409,1109.77862319187,0.762595010079118
"256",2.46032664632664,0.00591320624199543,0.0871567163597184,-0.000385990234464631,"+",0.000768291349837533,-1.33111068025516e-05,"+","+",13,-508.910891765851,1045.49150830234,0.782625204764827,0.253727334894467,1092.28068989916,0.766338186051497
"64",2.01732820210548,0.00357782252974402,0.115022098622593,0.000340601585776802,"+",0.00105068232879883,-1.50368683083661e-05,NA,NA,9,-514.151294444936,1047.11339970068,2.40451660310168,0.112765958434091,1142.75700880444,0.755540239748941
"128",2.47961507214216,0.005475420883429,0.0904516435810784,-0.000682136972749006,"+",0.000815736657049373,-1.28468165770719e-05,NA,"+",11,-512.176340780382,1047.55268156076,2.84379846318416,0.0905293019309962,1123.46572952708,0.759667050147605
"144",0.370092961729521,0.0117343642781821,0.443436296375491,-0.01127679906611,"+",NA,NA,"+",NA,9,-515.338279566665,1049.48736994414,4.77848684656124,0.0344093863047103,1154.51045062415,0.753025931328836
"208",1.44383297106998,0.0114546208196714,0.230345436741916,-0.00406168617864892,"+",NA,NA,"+","+",11,-513.220457547457,1049.64091509491,4.93203199733466,0.0318665480616897,1133.62369938309,0.757494046738738
"56",2.69403130727274,0.00480099562426866,0.103043477245242,0.000682372633646221,NA,0.00114324458960668,-1.66865000609029e-05,NA,NA,7,-517.673587871809,1049.84717574362,5.1382926460376,0.0287439262805339,1177.98855551221,0.748003470868857
"176",0.264719380901881,0.0122103228500575,0.452807035434147,-0.0114338594875757,"+",NA,-1.65434618898174e-06,"+",NA,10,-515.020217184953,1051.03590948303,6.32702638544811,0.0158641146050371,1151.34921460032,0.753702186205883
"240",1.31510126203991,0.011967416564312,0.243563128516223,-0.00433745133044551,"+",NA,-1.77800760422343e-06,"+","+",12,-512.846868116407,1051.11839376706,6.40951066947991,0.0152231527075362,1129.97862535862,0.75827380474088
"160",0.574071280184731,0.0108600964696365,0.416926012784938,-0.0106069524126255,"+",7.11908236061088e-05,NA,"+",NA,10,-515.172758874155,1051.34099286143,6.6321097638513,0.0136197088822732,1152.86425151303,0.753378087943872
"224",1.58949310204493,0.0107646256140049,0.212534211139852,-0.00363945551590856,"+",5.65128459252822e-05,NA,"+","+",12,-513.114627246092,1051.65391202643,6.94502892885089,0.0116471130648517,1132.58993190498,0.757715191345952
"80",1.37580287391079,0.0117333812030555,0.236831661966601,-0.00424011308468512,"+",NA,NA,NA,"+",9,-516.536557365169,1051.88392554115,7.1750424435686,0.010381772106667,1166.49833236318,0.750461471278918
"96",1.60522798071181,0.0101930469617384,0.218266846313215,-0.00405363879982322,"+",0.000125308822850949,NA,NA,"+",10,-515.996013274543,1052.98750166221,8.27861856462755,0.00597906096173801,1161.07525533015,0.751621581522044
