"plant_time_rt","plant_yrs","prop_plants"
"1",1.9766,3.90694756,0.043
"2",4.4682,19.96481124,0.041
"3",3.287,10.804369,0.1546
"4",3.8925,15.15155625,0.0921
"5",3.8793,15.04896849,0.1491
"6",3.8959,15.17803681,0.1904
"7",4.9149,24.15624201,0.2192
"8",4.6122,21.27238884,0.2589
"9",3.3359,11.12822881,0.2529
"10",4.0257,16.20626049,0.4325
"11",4.9985,24.98500225,0.4456
"12",5.4059,29.22375481,0.3531
"13",5.7681,33.27097761,0.2906
"14",5.002,25.020004,0.0906
"15",6.023,36.276529,0.191
"16",7.117,50.651689,0.1912
"17",9.0111,81.19992321,0.4922
